input,output
茯苓四两人参二两附子一枚（生用，去皮，破八片）甘草二两（炙）干姜一两半,茯苓四逆汤方
人参一两 地黄六两 麻仁一升 白蜜八合,白蜜煎方
黄芪五两 芍药三两 桂枝三两,黄芪芍药桂枝汤方
茵陈蒿六两 栀子十四枚(劈) 大黄二两(去皮),茵陈蒿汤方
,烧裩散方
赤石脂一斤(碎)太乙禹余粮一斤(碎),赤石脂禹余粮汤方
柴胡八两芍药三两枳实四枚（炙）甘草三两（炙）,柴胡枳实芍药甘草汤方
半夏干姜各等分,半夏干姜散方
黄连三两黄芩三两栀子十四枚（劈）牡丹三两芍药三两,黄连黄芩栀子牡丹芍药汤方
麻黄六两 石膏半斤 甘草二两(炙) 生姜三两 大枣十五枚 白术四两,越婢加术汤方
薏苡十分 附子二分 败酱五分,薏苡附子败酱散方
猪苓一两茯苓一两阿胶一两泽泻一两滑石一两黄连一两牡丹一两,猪苓加黄连牡丹汤方
厚朴半斤 甘草三两 大黄三两 枳实五枚 桂枝二两 生姜五两 大枣十枚,厚朴七物汤方
麻黄六两（去节）桂枝二两（去皮）甘草二两（炙）杏仁四十枚（去皮尖）生姜三两（切）大枣十二枚（劈）石膏如鸡子大（碎）,大青龙汤方
甘草四两（炙）干姜二两（炮）,甘草干姜汤方
附子一枚(生用去皮破八片) 干姜一两半 甘草二两(炙) 人参二两 吴茱萸半升 黄连一两,四逆加吴茱萸黄连汤方
麻子仁二升 芍药半斤 枳实半斤(炙) 大黄一斤(去皮) 厚朴一只(炙) 杏仁一升(去皮尖),麻子仁丸方
桂枝一两半芍药一两半甘草一两（炙）柴胡四两半夏二合半人参一两半黄芩一两半生姜一两半大枣六枚（劈）,柴胡桂枝汤方
桂枝三两（去皮）甘草二两（炙）大枣十二枚（劈）人参三两生姜四两（切）,桂枝去芍药加人参生姜汤方
地黄八两知母四两黄连三两阿胶一两,地黄知母黄连阿胶汤方
茯苓三两芍药三两生姜三两（切）白术二两附子一枚（炮去皮破八片）,真武汤方
乌梅三百枚细辛六两干姜十两黄连十六两当归四两附子六两（炮去皮）蜀椒四两（出汗）桂枝六两（去皮）人参六两黄柏六两,乌梅丸方
猪肤一斤,猪肤汤方
枳实四枚（炙）厚朴二两（炙去皮）白术三两甘草一两（炙）,枳实厚朴白术甘草汤方
麻黄四两（去节）杏仁五十个（去皮尖）甘草二两（炙）石膏半斤（碎，绵裹）,麻黄杏仁甘草石膏汤方
附子一枚(炮) 半夏半升 甘草一两 大枣十枚 粳米半升,附子粳米汤方
芍药三两甘草二两（炙）茯苓三两白术三两生姜三两（切）大枣十二枚（劈）,桂枝去桂加茯苓白术汤方
大黄四两香蒲一两黄连三两地黄半斤牡丹皮六两,大黄香蒲汤方
瓜蒂二十个,一物瓜蒂汤方
苦参一斤,苦参汤方
黄连一两半黄芩三两麦门冬二两桔梗三两甘草二两（炙）,黄连黄芩麦冬桔梗甘草汤方
葶苈(熬令黄色捣丸如弹子大) 大枣十二枚,葶苈大枣泻肺汤方
甘草二两 白粉一两(即铅粉) 蜜四两,甘草粉蜜汤方
连翘二两阿胶一两半半夏半升（洗）赤小豆三两,连翘阿胶半夏赤小豆汤方
附子二枚(炮去皮破八片) 茯苓三两 人参二两 白术四两 芍药三两,附子汤方
人参二两甘草二两（炙）干姜一两半附子一枚（炮去皮破八片）,四逆汤方
乌头五枚(切) 麻黄三两 黄芪三两 芍药三两 甘草三两,乌头麻黄黄芪芍药甘草汤方
竹茹二分 石膏二分 桂枝一分 甘草七分 白薇一分,竹皮大丸方
桂枝三两 甘草二两(炙) 麻黄二两 生姜二两(切) 大枣十二枚 细辛三两 附子一枚(炮),桂枝甘草麻黄生姜大枣细辛附子汤方
桂枝四两 甘草四两(炙) 白术三两 人参三两 干姜三两,桂枝人参汤方
枳实四枚 薤白半斤 桂枝一两 厚朴四两 括萎一枚(捣),枳实薤白桂枝厚朴括萎汤方
黄芩三两 芍药二两 甘草二两 大枣十二枚(劈),黄芩汤方
防己 椒目 葶苈 大黄各一两,防己椒目葶苈大黄丸方
赤小豆三升(浸令毛出曝干) 当归十两,赤豆当归散方
乌头五枚,乌头桂枝汤方
白术二两枳实二两桃仁二十七枚(去皮尖)干姜一两,白术枳实桃仁干姜汤方
黄连三两半夏半升石膏一斤碎（棉裹）甘草二两（炙）,黄连半夏石膏甘草汤方
枳实三枚(炙) 栀子十四枚(劈) 香豉一升(棉襄),枳实栀子豉汤方
干姜三两 黄芩三两 黄连三两 人参三两,干姜黄芩黄连人参汤方
竹叶一把 葛根三两 桔梗一两 人参一两 甘草一两 生姜五两 大枣十五枚(劈),竹叶汤方
禹余粮四两人参三两附子二枚五味子三合茯苓三两干姜三两,禹余粮丸方
麻黄二两半(去节) 升麻一两 知母一两 黄芩一两半 桂枝二两 白术一两 甘草一两(炙),麻黄升麻汤方
人参三两地黄半斤龙骨三两牡蛎四两茯苓四两,人参地黄龙骨牡蛎茯苓汤方
附子三两 狼毒四两 巴豆一两(去皮心熬研如脂) 人参一两 干姜一两 吴茱萸一两,九痛丸方
半夏一升 厚朴三两 茯苓四两 生姜五两 苏叶二两,半夏厚朴茯苓生姜汤方
橘皮一斤 枳实三两 生姜半斤,橘皮枳实生姜汤方
麻黄二两 附子一枚(炮去皮破八片) 细辛二两,麻黄附子细辛汤方
木防己二两 桂枝二两 茯苓四两 人参四两 芒硝三合,木防己去石膏加茯苓芒硝汤方
大猪胆一枚,猪胆汁方
大黄二两 黄连一两,泻心汤方
大黄四两（酒洗）厚朴半斤（炙去皮）枳实五枚芒硝三合,大承气汤方
桃仁五十个（去皮尖）大黄四两桂枝二两甘草二两（炙）芒硝二两,桃仁承气汤方
柴胡八两 芍药三两 枳实四枚(炙) 甘草三两(炙),柴胡芍药枳实甘草汤方
橘皮二斤 竹茹二升 人参一两 甘草五两 生姜半斤 大枣三十枚,橘皮竹茹汤方
桂枝一两甘草二两（炙）龙骨二两牡蛎二两（熬）,桂枝甘草龙骨牡蛎汤方
天雄三两(炮) 白术八两 桂枝六两 龙骨三两,天雄散方
柏叶三两 干姜三两 艾叶三把,柏叶汤方
百合七枚(洗去沫)贝母三两 茯苓三两 桔梗二两,百合贝母茯苓桔梗汤方
甘草二两（炙）白术二两干姜四两茯苓四两,甘草干姜茯苓白术汤方
百合七枚（劈）地黄汁一升牡丹皮六两半夏一升茯苓四两,百合地黄牡丹皮半夏茯苓汤方
桂枝三两甘草二两（炙）生姜三两（切）大枣十二枚（劈）附子一枚（炮去皮破八片）即桂枝汤二升，麻黄汤一升，合为三升，每服一升，日三服，将息如桂枝汤法。,桂枝去芍药加附子汤方
防己三两 黄芪三两 桂枝三两 茯苓六两 甘草二两(炙),防己茯苓汤方
栀子十四枚（劈）甘草二两（炙）香豉四合（棉裹）,栀子甘草豉汤方
百合一升,百合洗方
赤石脂一斤(一半全用一半筛末) 干姜一两 粳米一升,桃花汤方
大黄六两 芒硝一升 甘遂一钱(匙),大陷胸汤方
甘草二两(炙) 附子一枚(生用去皮破八片) 干姜一两半 人参三两,四逆加人参汤方
皂荚八两(刮去皮酥炙),皂荚丸方
半夏麻黄各等分,半夏麻黄丸方
地黄六两黄柏三两茯苓三两栝蒌根四两,地黄黄柏茯苓栝蒌汤方
百合七枚 鸡子黄一枚,百合鸡子黄汤方
芍药四两甘草四两（炙）,芍药甘草汤方
甘草二两,甘草汤方
当归三两 芍药一斤 茯苓四两 白术四两 泽泻半斤 芎藭三两,当归芍药散方
麻黄二两 连轺二两 杏仁四十个(去皮尖) 赤小豆一升 大枣十二枚 生梓白皮一斤(切) 生姜二两(切)甘草二两(炙),麻黄连轺赤子豆汤方
大黄四两石膏一斤茯苓三两白术四两枳实三两甘草三两（炙）,大黄石膏茯苓白术枳实甘草汤方
知母六两石膏一两碎（棉裹）甘草二两（炙）粳米六合人参三两,白虎加人参汤方
知母六两石膏一斤（碎）甘草二两（炙）粳米六合地黄六两,白虎加地黄汤方
桂枝三两 大黄二两 芍药六两 甘草二两(炙) 生姜三两(切) 大枣十二枚(劈),桂枝加大黄汤方
生姜四两 甘草三两(炙)人参三两 干姜一两 黄芩三两 半夏半升 黄连一两 大枣十二枚(劈),生姜泻心汤方
甘草二两(炙) 干姜三两 附子大者一枚(生用) 猪胆汁半合 人参二两,通脉四逆加猪胆汁汤方
桂枝三两(去皮)茯苓二两枳实二两芍药三两甘草一两(炙),桂枝茯苓枳实芍药甘草汤方
柏叶三两 阿胶二两 干姜二两(炮) 牡丹三两,柏叶阿胶汤方
麻黄二两（去节）茯苓三两白术三两防己一两赤小豆一升,麻黄茯苓汤方
干姜一两（炮）附子一枚（破八片炮）,干姜附子汤方
蜀漆(洗去腥) 云母(烧二日夜) 龙骨各等分,蜀漆散方
柴胡半斤 黄芩三两 人参三两 半夏半升(洗) 甘草三两(炙) 生姜三两(切) 大枣十二枚(劈) 茯苓三两 白术三两,小柴胡加茯苓白术汤方
吴茱萸一升人参三两生姜六两大枣十二枚（劈）,吴茱萸汤方
黄连三两黄芩二两,黄连黄芩泻心汤方
葛根四两麻黄三两（去节）桂枝二两（去皮）芍药二两甘草二两（炙）生姜三两（切）大枣十二枚（劈）,葛根汤方
厚朴五两 麻黄四两 石膏如鸡子大 杏仁半升 半夏半升 五味子半升,厚朴麻黄汤方
桔梗三分巴豆一分贝母三分,白散方
黄连四两芍药二两黄芩二两阿胶三两鸡子黄三枚,黄连阿胶汤方
黄芪三两 当归半两,黄芪当归汤方
大黄二两黄连一两黄芩一两附子一枚(炮去皮破别煮取汁),附子泻心汤方
大黄三两 桃仁二十枚 （庶／虫）虫二十枚(去足),下瘀血汤方
麻黄三两（去节）桂枝二两（去皮）甘草一两（炙）杏仁七十枚（去皮尖）,麻黄汤方
括萎实一枚(捣) 薤白三两 半夏半升 白酒一斗,薤白括蒌半夏汤方
滑石一斤 乱发一斤(烧) 白鱼一斤,滑石乱发白鱼散方
薏苡十五两 大附子十枚(炮),薏苡附子散方
甘草二两（炙）芎藭二两当归二两黄芩二两芍药二两半夏四两生姜四两葛根五两桂枝三两,奔豚汤方
当归三两 桂枝三两(去皮) 芍药三两 细辛三两 甘草二两(炙) 木通二两 大枣二十五枚(劈) 人参三两 附子一枚(炮去皮破八片),当归四逆加人参附子汤方
茯苓半斤 白术二两 戎盐二枚(弹丸大),茯苓白术戎盐汤方
地黄八两 薯蓣四两 山茱萸四两 泽泻三两 牡丹皮三两 茯苓三两 桂枝一两 附子一枚(炮),肾气丸方
芍药三两甘草三两（炙）附子一枚（炮去皮破八片）,芍药甘草附子汤方
白术三两枳实一两半干姜一两白蜜二两,白术枳实干姜白蜜汤方
桂枝四两（去皮）甘草二两（炙）,桂枝甘草汤方
猪苓一两茯苓一两滑石一两泽泻一两阿胶一两人参三两,猪苓加人参汤方
柴胡半斤 桂枝三两 干姜二两 括萎根四两 黄芩三两 甘草二两(炙) 牡蛎二两(熬),柴胡桂姜汤方
竹叶一把石膏半斤杏仁三十枚（去皮尖）甘草二两,竹叶石膏杏子甘草汤方
甘草四两(炙) 生姜三两(切) 人参二两 地黄半斤 桂枝三两 麦门冬半升 阿胶二两 麻仁半升 大枣十二枚(劈),炙甘草汤方
桂枝三两茯苓四两白术三两细辛二两,桂枝茯苓白术细辛汤方
雄黄一两,雄黄散方
麻黄六两 石膏半斤 甘草二两 生姜三两 大枣十二枚,越婢汤方
麻黄六两（去节）桂枝二两（去皮）甘草二两（炙）杏仁四十枚（去皮尖）生姜三两（切）大枣十枚（劈）石膏如鸡子大附子一枚（炮去皮破八片）,大青龙加附子汤方
矾石三分(烧) 杏仁一分,矾石丸方
白头翁二两 甘草二两 阿胶二两 黄连三两 黄柏三两 秦皮三两,白头翁加阿胶甘草汤方
白术 芎藭䓖 蜀椒(去目汗) 牡蛎各等分,白术散方
栀子十六枚（劈）黄芩三两半夏半斤甘草二两,栀子汤方
麦门冬七升 半夏一升 人参二两 甘草二两(炙) 粳米三合 大枣十二枚,麦门冬汤方
百合七枚 知母三两,百合知母汤方
百合七枚 地黄汁一升,百合地黄汤方
甘草二两（炙）芒硝半斤大黄四两（酒洗）,调胃承气汤方
水蛭二十个（熬）虻虫二十个（去翅足熬）桃仁二十五个（去皮尖）大黄三两（酒洗）,抵当丸方
百合七枚地黄汁一升牡蛎二两,百合地黄加牡蛎汤方
升麻二两 蜀椒一两(去汁) 雄黄五钱(研) 当归一两 甘草二两 鳖甲一片(炙),升麻鳖甲汤方
大黄四两 黄柏四两 芒硝四两 栀子十五枚,大黄硝石汤方
黄芪三两 桂枝三两 芍药三两 生姜六两 大枣十二枚,黄芪桂枝五物汤方
括萎根二两 瞿麦一两 薯蓣二两 附子一枚(炮) 茯苓三两,括蒌瞿麦薯蓣丸方
鳖甲 柴胡 黄芩 大黄 牡丹 （庶/虫）虫 阿胶,鳖甲煎丸方
半夏半升(洗) 黄芩三两 干姜三两 人参三两 甘草三两(炙) 黄连一两 大枣十二枚(劈),半夏泻心汤方
麻仁一升白蜜六合,麻仁白蜜煎方
文蛤五两 麻黄三两 甘草三两 生姜三两 石膏五两 杏仁五十枚 大枣十二枚,文蛤汤方
文蛤五两 麻黄三两 甘草三两 生姜三两 石膏五两 杏仁五十粒(去皮尖) 大枣十二枚(劈),文蛤散方
地黄六两 芎藭二两 阿胶二两 艾叶三两 当归三两 芍药四两 甘草二两,胶艾汤方
葶苈三两(熬)括萎实大者一枚(捣)桔梗三两牡丹皮二两,葶苈括萎桔梗牡丹汤方
桔梗三两 甘草二两 茯苓三两 泽泻二两,桔梗甘草茯苓泽泻汤方
附子大者一枚（炮去皮破八片）细辛二两黄连四两黄芩二两,附子细辛黄连黄芩汤方
桔梗三两甘草二两枳实四枚芍药三两,桔梗甘草枳实芍药汤方
甘草二两 桔梗三两 生姜一两 大枣十枚,排脓汤方
黄芩三两牡丹皮二两栝蒌实大者一枚（捣）半夏半升（洗）枳实二枚,黄芩牡丹皮栝蒌半夏枳实汤方
黄连一两石膏一斤碎（棉裹）半夏半升（洗）甘草三两,黄连石膏半夏甘草汤方
柴胡半斤黄芩三两人参三两栝蒌根四两黄连三两牡丹皮四两甘草三两（炙）生姜三两大枣十二枚（劈）,小柴胡加黄连牡丹汤方
半夏一升 生姜半斤,小半夏汤方
人参三两石膏一斤碎（棉裹）竹叶一把黄连一两半夏半升（洗）,人参石膏汤方
旋覆花三两 葱十四茎 新绛少许,旋覆花汤方
厚朴八两大黄四两,厚朴大黄汤方
柴胡半斤 黄芩三两 人参二两 半夏半升(洗) 甘草三两 生姜二两(切) 大枣十二枚(劈) 茯苓四两,小柴胡加茯苓汤方
灶中黄土半斤 甘草三两 地黄三两 白术三两 附子三两(炮) 阿胶三两 黄芩三两,黄土汤方
百合一两(炙)滑石二两,百合滑石散方
黄连二两 茯苓三两 阿胶一两半 芍药三两 黄芩三两 半夏一升,黄连茯苓汤方
蜘蛛十四枚(熬) 桂枝一两,蜘蛛散方
桂枝三两 生姜三两 枳实五枚,桂枝生姜枳实汤方
酸枣仁二升 甘草一两 知母二两 茯苓二两 芎藭一两,酸枣仁汤方
吴茱萸三两 当归二两 芎藭二两 芍药二两 人参二两 桂枝二两 阿胶二两 牡丹皮二两 甘草二两 生姜二两,温经汤方
半夏一升 生姜半斤 茯苓四两,小半夏加茯苓汤方
紫参半斤 甘草三两,紫参汤方
猪膏半斤 乱发如鸡子大三枚,猪膏发煎方
大黄四两厚朴六两甘草三两,大黄厚朴甘草汤方
白术三两茯苓四两半夏一升枳实一两半,白术茯苓半夏枳实汤方
葱白四茎 干姜一两 附子一枚(生用去皮破八片) 人尿五合 猪胆汁一合,白通加猪胆汁汤方
桔梗一两 甘草二两,桔梗汤方
茯苓二两桂枝二两甘草一两（炙）生姜三两（切）,茯苓甘草汤方
猪苓十八铢（去皮）泽泻一两六铢茯苓十八铢桂枝半两（去皮）白术十八铢,五苓散方
知母六两石膏一斤甘草二两（炙）粳米六合,白虎汤方
即桂枝汤三合，麻黄汤三合，并为六合，顿服之，将息如桂枝汤法。,桂枝麻黄各半汤方
枳实四枚橘皮二两桔梗三两半夏半升（洗）生姜三两（切）甘草二两（炙）,枳实橘皮桔梗半夏生姜甘草汤方
橘皮四两生姜半斤,橘皮汤方
竹茹二两栝蒌根二两茯苓三两半夏半升,竹茹半夏汤方
甘遂大者三枚 半夏十二枚 芍药五枚 甘草如指大一枚(炙),甘遂半夏汤方
葛根半斤黄连三两黄芩三两 甘草二两（炙）,葛根黄连黄芩甘草汤方
人参三两干姜三两白术三两甘草三两（炙）,理中汤方
木防己三两 石膏鸡子大十二枚 桂枝二两 人参四两,木防己汤方
升麻二两 当归一两 甘草二两 鳖甲一片,升麻鳖甲去雄黄蜀椒汤方
当归四两附子大者一枚（炮去皮破八片）人参三两黄连三两黄柏三两,当归附子汤方
竹叶两把石膏半斤（棉裹）黄芩三两泽泻二两半夏半升甘草二两,竹叶石膏黄芩泽泻半夏甘草汤方
甘草二两 麻黄四两,甘草麻黄汤方
蜀椒二合去目汗 干姜四两 人参一两 胶饴一升,大建中汤方
阿胶三两 地黄六两 芎藭二两 生姜三两(切) 当归三两 芍药三两 甘草二两(炙),胶姜汤方
黄连一两 半夏半升 括蒌实大者一枚,小陷胸汤方
白头翁二两 黄连三两 柏皮三两 秦皮三两 甘草二两 阿胶二两,白头翁加甘草阿胶汤方
知母六两 石膏一斤 甘草二两(炙) 粳米二合 桂枝三两 人参三两,白虎加桂枝人参汤方
蒲灰细辛皂荚麻黄,鼻塞方
白术三两茯苓四两厚朴二两（炙去皮）,白术茯苓厚朴汤方
人参三两 白术三两 芍药三两 甘草二两(炙),人参白术芍药甘草汤方
葱白四茎 干姜一两 附子一枚(生用去皮破八片),白通汤方
蛇床子一两,蛇床子散方
半夏十四枚(洗破如枣核) 鸡子一枚(去黄纳上苦酒著鸡子壳中),苦酒汤方
桂枝三两 芍药六两 甘草二两(炙) 生姜三两(切) 大枣十二枚(劈),桂枝加芍药汤方
桂枝四两（去皮）附子二枚（炮）甘草二两（炙）生姜三两（切）大枣十二枚（劈）,桂枝附子汤方
桂枝三两（去皮）芍药三两甘草二两（炙）生姜三两（切）大枣十二枚（劈）,桂枝汤方
括蒌根 牡蛎(熬)各等分,括蒌牡蛎散方
大黄十两 黄芩二两 甘草三两 桃仁一升 杏仁一升 芍药四两 地黄十两 干漆一两 虻虫一升 水蛭百枚 蛴螬一升 （庶/虫）虫半升,大黄（庶/虫）虫丸方
黄芩三两石膏半斤（碎）杏仁十四枚（去皮尖）甘草一两（炙）,黄芩石膏杏子甘草汤方
栀子十四枚，大黄一两 枳实五枚 豉一升,栀子大黄汤方
桂枝三两 芍药三两 知母二两 甘草二两,桂枝芍药知母甘草汤方
甘草二两(炙) 附子大者一枚 干姜一两半 人参二两,四逆散方
括萎实一枚(捣) 薤白半斤 白酒七升,括蒌薤白白酒汤方
半夏半升 紫参五两 泽漆三升 生姜五两 人参三两 甘草三两(炙),泽漆汤方
当归四两 贝母四两 苦参四两,当归贝母苦参丸方
黄连三两 甘草三两(炙) 干姜三两 桂枝三两 人参二两 半夏半升(洗) 大枣十二枚(劈),黄连汤方
大黄三两 厚朴三两 枳实三两 半夏一升甘草一两(炙),大黄厚朴枳实半夏甘草汤方
猪苓一两(去皮)茯苓一两 泽泻一两 阿胶一两 滑石一两(碎),猪苓汤方
茯苓半斤桂枝四两甘草二两（炙）大枣十五枚（劈）作甘瀾水法，取水二斗，置大盆内，以杓扬之，水上有珠子五六千颗相逐，取用之。,茯苓桂枝甘草大枣汤方
地黄六两半夏半升牡蛎二两酸枣仁三两,地黄半夏牡蛎酸枣仁汤方
茯苓半斤 泽泻四两 甘草二两 桂枝二两 白术三两 生姜四两,茯苓泽泻汤方
水蛭三十个（熬）虻虫三十个（去翅足熬）桃仁二十个（去皮尖）大黄三两（酒洗）,抵当汤方
狼牙三两,狼牙汤方
黄连一两黄芩一两阿胶一两甘草一两,黄连黄芩阿胶甘草汤方
半夏(洗) 桂枝 甘草(炙),半夏散方
桔梗三两甘草二两枳实四枚芍药三两地黄三两牡丹皮二两,桔梗甘草枳实芍药加地黄牡丹汤方
栀子十四枚（劈）干姜二两,栀子干姜汤方
防己一两 甘草五钱(炙) 白术七钱半 黄芪一两,防己黄芪汤方
茯苓四两桂枝三两白术二两甘草二两（炙）,茯苓桂枝白术甘草汤方
