input,output
"方剂组成：黄连三两
阿胶二两
半夏半升（洗）
桃仁二十枚（去皮尖）
茯苓三两
制备方法：右五味，以水五升，先煮四味，取二升，去滓，纳胶烊消，温服一升，日再服。",方剂名称：黄连阿胶半夏桃仁茯苓汤方
"方剂组成：栀子十四枚（劈）
香豉四合（棉裹）
制备方法：右二味，以水四升，先煮栀子得二升半，纳豉煮取一升半，去滓，分为二服，温进一服，得吐者止后服。",方剂名称：栀子豉汤方
"方剂组成：麻黄六两 石膏半斤 甘草二两 生姜三两 大枣十五枚 半夏半升
制备方法：右六昧，以水六升，先煮麻黄，去上沫，纳诸药，煮取三升，去滓，分温三服。",方剂名称：越婢加半夏汤方
"方剂组成：知母六两
石膏一斤碎（棉裹）
甘草二两（炙）
粳米六合
人参三两
黄连三两
阿胶二两
制备方法：右七味，以水一斗，先煮六味，米熟汤成去滓，纳胶烊消，温服一升，日三服。",方剂名称：白虎加黄连阿胶汤方
"方剂组成：人参三两 白术三两 甘草三两 干姜三两 附子一枚
制备方法：右五味，以水八升，煮取三升，去滓，温服一升，日三服。",方剂名称：理中加附子汤方
"方剂组成：黄芩三两 芍药二两 甘草二两(炙) 半夏半升(洗) 生姜一两半 大枣十二枚(劈)
制备方法：右六味，以水一斗，煮取三升，去滓，温服一升，日再服，夜一服。",方剂名称：黄芩加半夏生姜汤方
"方剂组成：栀子十五个(劈) 甘草一两(炙) 黄柏二两
制备方法：右三味，以水四升，煮取一升半，去滓，分温再服。",方剂名称：栀子柏皮汤方
"方剂组成：括萎根三两 桂枝三两(去皮) 甘草二两(炙) 芍药三两 生姜二两(切) 大枣十二枚(劈)
制备方法：右六味，以水七升，微火煮取三升，去滓，适寒温服一升，日三服。",方剂名称：括蒌桂枝汤方
"方剂组成：甘草三两 小麦一升 大枣十枚(劈)
制备方法：右三味，以水六升，煮取三升，去滓，分温三服。",方剂名称：甘草小麦大枣汤方
"方剂组成：吴茱萸二升 生姜半斤 附子一枚(炮去皮破八片) 当归三两 桂枝三两(去皮) 芍药三两 细辛三两 甘草二两(炙) 木通二两 大枣二十五枚(劈)
制备方法：右十味，以水六升，清酒六升，和煮取三升，温服一升，日三服。",方剂名称：当归四逆加吴茱萸生姜附子汤方
"方剂组成：白术一两
附子一枚（炮）
甘草二两（炙）
生姜一两半
大枣六枚（劈）
制备方法：右五味，以水三升，煮取一升，去滓，分温三服，一服觉身痹，半日许再服，三服都尽，其人如冒状，勿怪，即术附并走皮中，逐水气，未得除耳。",方剂名称：白术附子汤方
"方剂组成：乌头一两 蜀椒一两 附子五钱 干姜一两 赤石脂一两
制备方法：右五味，末之，蜜为丸，如梧桐子大，先食，服一丸，日三服，不知稍增，以知为度。",方剂名称：乌头赤石脂丸方
"方剂组成：柴胡半斤
黄芩三两
芍药三两
半夏半升（洗）
生姜五两（切）
枳实四枚（炙）
大枣十二枚（劈）
大黄二两
制备方法：右八味，以水一斗二升，煮取六升，去滓，再煎，温服二升，日三服。",方剂名称：大柴胡汤方
"方剂组成：诃黎勒十枚(煨)
制备方法：右一味为散，粥饮和，顿服之。",方剂名称：诃黎勒散方
"方剂组成：竹叶两把
粳米半升
半夏半升（洗）
石膏一斤
人参三两
麦门冬一升
甘草二两（炙）
制备方法：右七味，以水一斗，先煮六味，取六升，去滓，纳粳米，煮取米熟，汤成，温服一升，日三服。",方剂名称：竹叶石膏汤方
"方剂组成：地黄六两
黄柏三两
秦皮二两
茯苓三两
泽泻一两
制备方法：右五味，以水八升，煮取三升，去滓，温服一升，日三服。",方剂名称：地黄黄柏秦皮茯苓泽泻汤方
"方剂组成：枳实七枚 白术二两
制备方法：右二味，以水五升，煮取三升，去滓，分温三服。",方剂名称：枳实白术汤方
"方剂组成：硝石(熬黄) 矾石(烧) 各等兮
制备方法：右二味，为散，大麦粥汁和服方寸匙，日三服，大便黑，小便黄，是其候也。",方剂名称：硝石矾石散方
"方剂组成：麻黄一两
杏仁二十枚（去皮尖）
薏苡一两
甘草一两（炙）
制备方法：右四味，以水六升，先煮麻黄，减二升，去上沫，纳诸药，煮取三升，去滓，温服一升，日三服。",方剂名称：麻黄杏仁薏苡甘草汤方
"方剂组成：人参三两干姜三两甘草三两白术三两
制备方法：右四味，捣筛，蜜和为丸，如鸡子黄大，以沸汤数合和一丸，研碎温眼，日三服，夜二服，腹中未热，可益至三四丸。",方剂名称：理中丸方
"方剂组成：柴胡半斤 桂枝三两 干姜二两 括萎根四两 黄芩三两 牡蛎二两(熬) 甘草二两(炙)
制备方法：右七味，以水一斗二升，煮取六升，去滓，再煎取三升，温服一升，日三服。初服微烦，复服，汗出便愈。",方剂名称：柴胡桂枝干姜汤方
"方剂组成：当归三两 生姜五两 羊肉一斤
制备方法：右三味，以水八升，煮取三升，温服七合，日三服。寒多者加生姜成一斤；痛多而呕者，加橘皮二两，白术一两；加生姜者，亦加水五升，煮取三升二合，分温三服。",方剂名称：当归生姜羊肉汤方
"方剂组成：桂枝三两（去皮）
芍药三两
甘草二两（炙）生姜三两
大枣十二枚（劈）
附子一枚（炮去皮破八片）
制备方法：右六味，以水七升，煮取三升，去滓，温服一升，日三服。将息如桂枝汤法。",方剂名称：枝枝加附子汤方
"方剂组成：人参二两 附子一枚 干姜二枚(炮) 半夏半升 阿胶二两 柏叶三两
制备方法：右六味，以水六升，煮取二升，去滓，纳胶烊消，温服一升，日再服。",方剂名称：人参附子汤方
"方剂组成：知母六两
石膏一斤碎（棉裹）
甘草二两（炙）
粳米六合
桂枝一两
人参三两
芍药二两
制备方法：右七味，以水八升，煮米熟汤成，温服一升，日三服。",方剂名称：白虎加桂枝人参芍药汤方
"方剂组成：桂枝三两 芍药三两 甘草二两(炙) 当归四两 细辛一两 附子一枚(炮) 人参二两 干姜一两半 生姜三两(切) 大枣十二枚(劈)
制备方法：右十味，以水一斗二升，煮取四升，去滓，温服一升，日三服，夜一服。",方剂名称：桂枝加附子当归细辛人参干姜汤方
"方剂组成：茯苓四两
人参二两
附子一枚（生用，去皮，破八片）
甘草二两（炙）
干姜一两半
制备方法：右五味，以水五升，煮取三升，去滓，温服七合，日三服。",方剂名称：茯苓四逆汤方
"方剂组成：人参一两 地黄六两 麻仁一升 白蜜八合
制备方法：右四味，以水一斗，先煎三味，取五升，去滓，纳蜜，再煎一二沸，每服一升，日三夜二。",方剂名称：白蜜煎方
"方剂组成：黄芪五两 芍药三两 桂枝三两
制备方法：右三味，以苦酒一升，水七升，相合，煮取三升，去滓，温服一升，当心烦，服至六七日乃解；若心烦不止者，以苦酒阻故也，以美酒醢易之。",方剂名称：黄芪芍药桂枝汤方
"方剂组成：茵陈蒿六两 栀子十四枚(劈) 大黄二两(去皮)
制备方法：右三味，以水一斗二升，先煮茵陈，减六升，纳二味，煮取三升，去滓，分温三服，小便当利，尿如皂荚汁状，色正赤，一宿病减，黄从小便去也。",方剂名称：茵陈蒿汤方
"方剂组成：
制备方法：右剪取妇人中裩，近隐处，烧灰，以水和服方寸匙，日三服，小便即利，阴头微肿则愈，妇人病取男子裩裆烧，和服如法。",方剂名称：烧裩散方
"方剂组成：赤石脂一斤(碎)太乙禹余粮一斤(碎)
制备方法：右二昧，以水六升，煮取三升，去滓，分温三服。",方剂名称：赤石脂禹余粮汤方
"方剂组成：柴胡八两
芍药三两
枳实四枚（炙）
甘草三两（炙）
制备方法：右四味，以水一斗，煮取六升，去滓，再煎取三升，温服一升，日三服。",方剂名称：柴胡枳实芍药甘草汤方
"方剂组成：半夏干姜各等分
制备方法：右二味，杵为散，取方寸匙，浆水一升半，煮取七合，顿服之。",方剂名称：半夏干姜散方
"方剂组成：黄连三两
黄芩三两
栀子十四枚（劈）
牡丹三两
芍药三两
制备方法：右五味，以水六升，煮取三升，去滓，温服一升，日三服。",方剂名称：黄连黄芩栀子牡丹芍药汤方
"方剂组成：麻黄六两 石膏半斤 甘草二两(炙) 生姜三两 大枣十五枚 白术四两
制备方法：右六味，以水六升，先煮麻黄，去上沫，纳诸药，煮取三升，分温三服。",方剂名称：越婢加术汤方
"方剂组成：薏苡十分 附子二分 败酱五分
制备方法：右三味，杵为末，取方寸匙，以水二升，煮减半，去滓，顿眼，小便当下血。",方剂名称：薏苡附子败酱散方
"方剂组成：猪苓一两
茯苓一两
阿胶一两
泽泻一两
滑石一两
黄连一两
牡丹一两
制备方法：右七味，以水四升，先煮六味，取二升，去滓，纳胶烊消，分温再服。",方剂名称：猪苓加黄连牡丹汤方
"方剂组成：厚朴半斤 甘草三两 大黄三两 枳实五枚 桂枝二两 生姜五两 大枣十枚
制备方法：右七味，以水一斗，煮取四升，去滓，温服八合，日三服。",方剂名称：厚朴七物汤方
"方剂组成：麻黄六两（去节）
桂枝二两（去皮）
甘草二两（炙）
杏仁四十枚（去皮尖）
生姜三两（切）
大枣十二枚（劈）石膏如鸡子大（碎）
制备方法：右七味，以水九升，先煮麻黄，减二升，去上沫，纳诸药，煮取三升，去滓，温服一升，取微似汗，汗多者，温粉粉之。一服汗出停后服。若复服汗多亡阳，遂虚，恶风烦躁，不得眠也。",方剂名称：大青龙汤方
"方剂组成：甘草四两（炙）
干姜二两（炮）
制备方法：右二味，以水三升，煮取一升五合，去滓，分温再服。",方剂名称：甘草干姜汤方
"方剂组成：附子一枚(生用去皮破八片) 干姜一两半 甘草二两(炙) 人参二两 吴茱萸半升 黄连一两
制备方法：右六味，以水六升，煮取二升，去滓，温服一升，日再服。",方剂名称：四逆加吴茱萸黄连汤方
"方剂组成：麻子仁二升 芍药半斤 枳实半斤(炙) 大黄一斤(去皮) 厚朴一只(炙) 杏仁一升(去皮尖)
制备方法：右六味，蜜为丸，如梧桐子大，饮服十丸，日三服，渐加，以知为度。",方剂名称：麻子仁丸方
"方剂组成：桂枝一两半
芍药一两半
甘草一两（炙）
柴胡四两
半夏二合半
人参一两半
黄芩一两半
生姜一两半
大枣六枚（劈）
制备方法：右九味，以水七升，煮取三升，去滓，温服一升，日三服。",方剂名称：柴胡桂枝汤方
"方剂组成：桂枝三两（去皮）
甘草二两（炙）
大枣十二枚（劈）
人参三两
生姜四两（切）
制备方法：右五味，以水一斗二升，煮取三升，去滓，温服一升，日三服。",方剂名称：桂枝去芍药加人参生姜汤方
"方剂组成：地黄八两
知母四两
黄连三两
阿胶一两
制备方法：右四味，以水一斗，先煮三味取三升，去滓，纳胶烊消，温服一升，日三服。",方剂名称：地黄知母黄连阿胶汤方
"方剂组成：茯苓三两
芍药三两
生姜三两（切）
白术二两
附子一枚（炮去皮破八片）
制备方法：右五味，要以水八升，煮取三升，去滓，温服七合，日三服。",方剂名称：真武汤方
"方剂组成：乌梅三百枚
细辛六两
干姜十两
黄连十六两
当归四两
附子六两（炮去皮）
蜀椒四两（出汗）
桂枝六两（去皮）
人参六两
黄柏六两
制备方法：右十味，异捣筛，合治之，以苦酒渍乌梅一宿，去核蒸之五斗米下，饭熟，捣成泥，和药令相得，纳臼中与蜜杵二千下，丸如梧子大，先食饮服十丸，日三服。稍加至二十丸，禁生冷滑物臭食等。",方剂名称：乌梅丸方
"方剂组成：猪肤一斤
制备方法：右一味，以水一斗，煮取五升，去滓，加白蜜一升，白粉五合，熬香，和令相得，分温六服。(白粉即米粉)",方剂名称：猪肤汤方
"方剂组成：枳实四枚（炙）
厚朴二两（炙去皮）
白术三两
甘草一两（炙）
制备方法：右四味，以水六升，煮取三升，去滓，温服一升，日三服。",方剂名称：枳实厚朴白术甘草汤方
"方剂组成：麻黄四两（去节）
杏仁五十个（去皮尖）
甘草二两（炙）
石膏半斤（碎，绵裹）
制备方法：右四味，以水七升，先煮麻黄，减二升，去上沫，纳诸药，煮取二升，去滓，温服一升，日再服。",方剂名称：麻黄杏仁甘草石膏汤方
"方剂组成：附子一枚(炮) 半夏半升 甘草一两 大枣十枚 粳米半升
制备方法：右五味，以水八升，煮米熟，汤成去滓，温服一升，日三服。",方剂名称：附子粳米汤方
"方剂组成：芍药三两
甘草二两（炙）
茯苓三两
白术三两
生姜三两（切）
大枣十二枚（劈）
制备方法：右六味，以水八升，煮取三升，去滓，温服一升，日三服。",方剂名称：桂枝去桂加茯苓白术汤方
"方剂组成：大黄四两
香蒲一两
黄连三两
地黄半斤
牡丹皮六两
制备方法：右五味，以水一斗，煮取六升，去滓，温服二升，日三服。",方剂名称：大黄香蒲汤方
"方剂组成：瓜蒂二十个
制备方法：右〖坐刂〗，以水一升，煮取五合，去滓，顿服。",方剂名称：一物瓜蒂汤方
"方剂组成：苦参一斤
制备方法：右一味，以水一斗，煮取七升，去滓，薰洗，日三次。",方剂名称：苦参汤方
"方剂组成：黄连一两半
黄芩三两
麦门冬二两
桔梗三两
甘草二两（炙）
制备方法：右五味，以水六升，煮取三升，去滓，温服一升，日三服。",方剂名称：黄连黄芩麦冬桔梗甘草汤方
"方剂组成：葶苈(熬令黄色捣丸如弹子大) 大枣十二枚
制备方法：右二味，以水三升，先煮大枣取二升，去枣，纳葶苈，煮取一升，去滓，顿服。",方剂名称：葶苈大枣泻肺汤方
"方剂组成：甘草二两 白粉一两(即铅粉) 蜜四两
制备方法：右三味，以水三升，先煮甘草，取二升，去滓，纳粉蜜搅令和，煎如薄粥，温服一升，差，止后服。",方剂名称：甘草粉蜜汤方
"方剂组成：连翘二两
阿胶一两半
半夏半升（洗）
赤小豆三两
制备方法：右四味，以水四升，先煮三物，取二升，去滓，纳胶烊消，温服七合，日三服。",方剂名称：连翘阿胶半夏赤小豆汤方
"方剂组成：附子二枚(炮去皮破八片) 茯苓三两 人参二两 白术四两 芍药三两
制备方法：右五味，以水八升，煮取三升，去滓，温服一升，日三服。",方剂名称：附子汤方
"方剂组成：人参二两
甘草二两（炙）干姜一两半
附子一枚（炮去皮破八片）
制备方法：右四味，以水三升，煮取一升二合，去滓，分温再服，强人可大附子一枚，干姜三两。",方剂名称：四逆汤方
"方剂组成：乌头五枚(切) 麻黄三两 黄芪三两 芍药三两 甘草三两
制备方法：右五味，先以蜜二升煮乌头，取一升，去滓，别以水三升煮四味，取一升，去滓，纳蜜再煮一二沸，服七合，不知尽服之。",方剂名称：乌头麻黄黄芪芍药甘草汤方
"方剂组成：竹茹二分 石膏二分 桂枝一分 甘草七分 白薇一分
制备方法：右五味，末之，枣肉和丸，如弹子大，饮服一丸，日三服，夜二服，有热者倍白薇。",方剂名称：竹皮大丸方
"方剂组成：桂枝三两 甘草二两(炙) 麻黄二两 生姜二两(切) 大枣十二枚 细辛三两 附子一枚(炮)
制备方法：右七味，以水七升，先煮麻黄去沫，纳诸药，煮取三升，分温三服，汗出即愈。",方剂名称：桂枝甘草麻黄生姜大枣细辛附子汤方
"方剂组成：桂枝四两 甘草四两(炙) 白术三两 人参三两 干姜三两
制备方法：右五味，以水九升，先煮四味，取五升，纳桂枝，更煮取三升，去滓，温服一升，日再服，夜一服。",方剂名称：桂枝人参汤方
"方剂组成：枳实四枚 薤白半斤 桂枝一两 厚朴四两 括萎一枚(捣)
制备方法：右五味，以水五升，先煮枳实、厚朴取二升，去滓，纳诸药，煮数沸，分温三服。",方剂名称：枳实薤白桂枝厚朴括萎汤方
"方剂组成：黄芩三两 芍药二两 甘草二两 大枣十二枚(劈)
制备方法：右四味，以水一斗，煮取三升，去滓，温服一升，日再服，夜一服。",方剂名称：黄芩汤方
"方剂组成：防己 椒目 葶苈 大黄各一两
制备方法：右四味，捣筛，炼蜜为丸，如梧桐子大，先食，饮服一丸，日三服，不知稍增。",方剂名称：防己椒目葶苈大黄丸方
"方剂组成：赤小豆三升(浸令毛出曝干) 当归十两
制备方法：右二味，杵为散，浆水服方寸匙，日三服。",方剂名称：赤豆当归散方
"方剂组成：乌头五枚
制备方法：右一味，以蜜二升，煮减半，去滓，以桂枝汤五合，解之，令得一升，初服二合，不知即服三合，又不知加至五合，其知者如醉状，得吐者为中病。",方剂名称：乌头桂枝汤方
"方剂组成：白术二两枳实二两桃仁二十七枚(去皮尖)干姜一两
制备方法：右四味，以水五升，煮取二升，去滓，分温再服。",方剂名称：白术枳实桃仁干姜汤方
"方剂组成：黄连三两
半夏半升
石膏一斤碎（棉裹）
甘草二两（炙）
制备方法：右四味，以水五升，煮取三升，去滓，温服一升，日三服。",方剂名称：黄连半夏石膏甘草汤方
"方剂组成：枳实三枚(炙) 栀子十四枚(劈) 香豉一升(棉襄)
制备方法：右三味，以清浆水七升，空煮取四升，纳枳实、栀子煮取二升，纳香豉更煮五六沸，去滓，温分再服，覆令微似汗。",方剂名称：枳实栀子豉汤方
"方剂组成：干姜三两 黄芩三两 黄连三两 人参三两
制备方法：右四昧，以水六升，煮取二升，去滓，分温再服。",方剂名称：干姜黄芩黄连人参汤方
"方剂组成：竹叶一把 葛根三两 桔梗一两 人参一两 甘草一两 生姜五两 大枣十五枚(劈)
制备方法：右七味，以水八升，煮取三升，去滓，温服一升，日三服。",方剂名称：竹叶汤方
"方剂组成：禹余粮四两
人参三两
附子二枚
五味子三合
茯苓三两
干姜三两
制备方法：右六味，蜜为丸，如梧子大，每服二十丸。",方剂名称：禹余粮丸方
"方剂组成：麻黄二两半(去节) 升麻一两 知母一两 黄芩一两半 桂枝二两 白术一两 甘草一两(炙)
制备方法：右七味，以水一斗，先煮麻黄去上沫，纳诸药，煮取三升，去滓，温服一升，日三服。",方剂名称：麻黄升麻汤方
"方剂组成：人参三两
地黄半斤
龙骨三两
牡蛎四两
茯苓四两
制备方法：右五味，以水一斗，煮取三升，分温三服。",方剂名称：人参地黄龙骨牡蛎茯苓汤方
"方剂组成：附子三两 狼毒四两 巴豆一两(去皮心熬研如脂) 人参一两 干姜一两 吴茱萸一两
制备方法：右六味，末之，蜜丸如梧桐子大，酒下，强人初服三丸，日三服，弱者二二丸。",方剂名称：九痛丸方
"方剂组成：半夏一升 厚朴三两 茯苓四两 生姜五两 苏叶二两
制备方法：右五味，以水一斗，煮取四升，去滓，分温四服，日三服，夜一服，苦痛者，去苏叶，加桔梗二两。",方剂名称：半夏厚朴茯苓生姜汤方
"方剂组成：橘皮一斤 枳实三两 生姜半斤
制备方法：右三味，以水五升，煮取二升，去滓，分温再服。",方剂名称：橘皮枳实生姜汤方
"方剂组成：麻黄二两 附子一枚(炮去皮破八片) 细辛二两
制备方法：右三味，以水一斗，先煮麻黄减二升，去上沫，纳诸药，煮取三升，去滓，温服一升，日三服。",方剂名称：麻黄附子细辛汤方
"方剂组成：木防己二两 桂枝二两 茯苓四两 人参四两 芒硝三合
制备方法：右四味，以水六升，煮取二升，去滓，纳芒硝，再微煎，分温再服，微利则愈。",方剂名称：木防己去石膏加茯苓芒硝汤方
"方剂组成：大猪胆一枚
制备方法：右一味，泄汁，和醋少许，灌谷道中，如一食顷，当大便出宿食甚多。",方剂名称：猪胆汁方
"方剂组成：大黄二两 黄连一两
制备方法：右二味，以水三升，煮取一升，去滓，顿服之。",方剂名称：泻心汤方
"方剂组成：大黄四两（酒洗）
厚朴半斤（炙去皮）
枳实五枚
芒硝三合
制备方法：右四味，以水一斗，先煮二物，取五升，去滓，纳大黄更煮取二升，去滓，纳芒硝，更上微火，一两沸，分温再服，得下，余勿服。",方剂名称：大承气汤方
"方剂组成：桃仁五十个（去皮尖）
大黄四两
桂枝二两
甘草二两（炙）
芒硝二两
制备方法：右五味，以水七升，煮四味，取二升，去滓，纳芒硝，更上火微沸。下火，先食温服五合，日三服，当微利。",方剂名称：桃仁承气汤方
"方剂组成：柴胡八两 芍药三两 枳实四枚(炙) 甘草三两(炙)
制备方法：右四味，以水一斗，煮取六升，去滓，再煎取三升，温服一升，日三服。",方剂名称：柴胡芍药枳实甘草汤方
"方剂组成：橘皮二斤 竹茹二升 人参一两 甘草五两 生姜半斤 大枣三十枚
制备方法：右六味，以水一斗，煮取三升，去滓，温服一升，日三服。",方剂名称：橘皮竹茹汤方
"方剂组成：桂枝一两
甘草二两（炙）
龙骨二两
牡蛎二两（熬）
制备方法：右四味，以水五升，煮取三升，去滓，温服一升，日三服。甚者加人参三两。",方剂名称：桂枝甘草龙骨牡蛎汤方
"方剂组成：天雄三两(炮) 白术八两 桂枝六两 龙骨三两
制备方法：右四味，杵为散，酒服半钱匙，日三服，不知稍增，以知为度。",方剂名称：天雄散方
"方剂组成：柏叶三两 干姜三两 艾叶三把
制备方法：右三味，以水五升，取马通汁一升，合煮取一升，去滓，分温再服。",方剂名称：柏叶汤方
"方剂组成：百合七枚(洗去沫)贝母三两 茯苓三两 桔梗二两
制备方法：右四味，以水七升，煮取三升，去滓，温服一升，日三服。",方剂名称：百合贝母茯苓桔梗汤方
"方剂组成：甘草二两（炙）
白术二两
干姜四两
茯苓四两
制备方法：右四味，以水五升，煮取三升，去滓，温服一升，日三服。",方剂名称：甘草干姜茯苓白术汤方
"方剂组成：百合七枚（劈）
地黄汁一升
牡丹皮六两
半夏一升
茯苓四两
制备方法：右五味，先以水洗百合，渍一宿，当白沫出，去其水，别以水二升，煮取一升，去滓，别以泉水四升，煮三味，取二升，去滓，纳地黄汁，与百合汁，更上火，令沸，温服一升，日三服。",方剂名称：百合地黄牡丹皮半夏茯苓汤方
"方剂组成：桂枝三两
甘草二两（炙）
生姜三两（切）
大枣十二枚（劈）
附子一枚（炮去皮破八片）
即桂枝汤二升，麻黄汤一升，合为三升，每服一升，日三服，将息如桂枝汤法。
制备方法：右五味，以水七升，煮取三升，去滓，温服一升，日三服，将息如桂枝汤法。",方剂名称：桂枝去芍药加附子汤方
"方剂组成：防己三两 黄芪三两 桂枝三两 茯苓六两 甘草二两(炙)
制备方法：右五味，以水六升，煮取三升，分温三服。",方剂名称：防己茯苓汤方
"方剂组成：栀子十四枚（劈）
甘草二两（炙）
香豉四合（棉裹）
制备方法：右三味，以水四升，先煮栀子甘草取二升半，纳豉煮取一升半，去滓，分二服，温进一服，得吐者止后服。",方剂名称：栀子甘草豉汤方
"方剂组成：百合一升
制备方法：右一味，以水一斗，渍之一宿，以洗身，洗已，食煮饼，勿以盐豉也。",方剂名称：百合洗方
"方剂组成：赤石脂一斤(一半全用一半筛末) 干姜一两 粳米一升
制备方法：右三味，以水七升，煮米令熟，去滓，温服七合，纳赤石脂末方寸匙，日三服，若一服愈，余勿服。",方剂名称：桃花汤方
"方剂组成：大黄六两 芒硝一升 甘遂一钱(匙)
制备方法：右三味，以水六升，先煮大黄，取二升，去滓，纳芒硝，煮二沸，纳甘遂末，温服一升，得快利，止后服。",方剂名称：大陷胸汤方
"方剂组成：甘草二两(炙) 附子一枚(生用去皮破八片) 干姜一两半 人参三两
制备方法：右四味，以水三升，煮取一升二合，去滓，分温再服。",方剂名称：四逆加人参汤方
"方剂组成：皂荚八两(刮去皮酥炙)
制备方法：右一味，末之，蜜丸如梧桐子大，以枣膏和汤，服三丸，日三服，夜一服。",方剂名称：皂荚丸方
"方剂组成：半夏麻黄各等分
制备方法：右二味，末之，炼蜜和丸，如小豆大，饮服三丸，日三服。",方剂名称：半夏麻黄丸方
"方剂组成：地黄六两
黄柏三两
茯苓三两
栝蒌根四两
制备方法：右四味，以水六升，煮取三升，去滓，温服一升，日三服。",方剂名称：地黄黄柏茯苓栝蒌汤方
"方剂组成：百合七枚 鸡子黄一枚
制备方法：右二味，先洗煮百合如前法，去滓，纳鸡子黄，搅匀，顿服之。",方剂名称：百合鸡子黄汤方
"方剂组成：芍药四两
甘草四两（炙）
制备方法：右二味，以水三升，煮取一升五合，去滓，分温再服之。",方剂名称：芍药甘草汤方
"方剂组成：甘草二两
制备方法：右一味，以水三升，煮取一升半，去滓，温服七合，日二服。",方剂名称：甘草汤方
"方剂组成：当归三两 芍药一斤 茯苓四两 白术四两 泽泻半斤 芎藭三两
制备方法：右六味，杵为散，取方寸匙，温酒和，日三服。",方剂名称：当归芍药散方
"方剂组成：麻黄二两 连轺二两 杏仁四十个(去皮尖) 赤小豆一升 大枣十二枚 生梓白皮一斤(切) 生姜二两(切)甘草二两(炙)
制备方法：右八味，以潦水一斗，先煮麻黄再沸，去上沫，纳诸药，煮取三升，去滓，分温三服，半日服尽。",方剂名称：麻黄连轺赤子豆汤方
"方剂组成：大黄四两
石膏一斤
茯苓三两
白术四两
枳实三两
甘草三两（炙）
制备方法：右六味，以水八升，煮取五升，温分三服。",方剂名称：大黄石膏茯苓白术枳实甘草汤方
"方剂组成：知母六两
石膏一两碎（棉裹）
甘草二两（炙）
粳米六合
人参三两
制备方法：右五味，以水一斗，煮米熟，汤成去滓，温服一升，日三服。",方剂名称：白虎加人参汤方
"方剂组成：知母六两
石膏一斤（碎）
甘草二两（炙）
粳米六合
地黄六两
制备方法：右五味以水一斗，煮米熟，汤成去滓，温服一升，日三服。",方剂名称：白虎加地黄汤方
"方剂组成：桂枝三两 大黄二两 芍药六两 甘草二两(炙) 生姜三两(切) 大枣十二枚(劈)
制备方法：右六味，以水七升，煮取三升，去滓，温服一升，日三服。",方剂名称：桂枝加大黄汤方
