相须药对 
药对  名称  剂量  适应症
鲜茅根  茅花  30；5~10g  清热、止血、生津，味甘而不泥膈性寒而不碍胃、利水而不伤阴，适用于阴虚火旺之血证。
藿香  佩兰  各10g  化湿解暑，适用于湿困脾胃、暑湿中阻之病症。
藿香  猪胆汁  丸剂吞服，10g/bid  清胆通窍，适用于鼻渊病。症状消失后需再服一周方能消去病根。
生姜  枳实  各10g  消痞除痰，适用于痰气郁结之胸痹。
制半夏  干姜  10~15g；2~8g  散寒化饮、降逆止呕，适用于寒饮呕吐、胃痛。
石菖蒲  远志  5~10g（干）10~20g（鲜）；5~10g  宁心、化痰，适用于心虚挟痰之心悸、少寐病证。
石菖蒲  制南星  10~15g（干）、30g(鲜)；5~10g  醒脑开窍、解郁化痰，适用于痰浊内闭之神昏、痰湿内阻之闭经。
制半夏  茯苓  10~15g；15g  化饮降逆、渗湿利水，适用于痰饮上逆所致眩悸、咳喘。此药对与半夏、威灵仙药对相比，均能祛痰燥湿，彼药对长于消，用于痰饮内聚；此药对长于利，用于痰饮上逆。
浮萍  木贼草  10g；6g  祛风、利水、退肿，适用于风水病。
蝼蛄  蟋蟀  2~5只(煎服)、1~2只(吞服)  利水退肿，适用于鼓胀腹水。
茯苓  猪苓  水湿潴留在里 茯苓30g；水湿潴留在外 茯苓皮30g；10~15g  利水渗湿，适用于水湿潴留证。
路路通  地龙  10g  清热利水、通利脉络，适用于湿热丹毒病。
马鞭草  王不留行  15~20g；10g  活血利水，适用于湿脚气病。
石打穿  刘寄奴  10~15g  清热利水、通络散结，适用于水热互结的鼓胀病。
槟榔  茯苓皮  10g；20~30g  行水退肿，适用于气滞水停之水肿病。
蜈蚣  白花蛇  1~3g；1~3g(煎服)、1g(吞服)  祛风、通络、除痹，适用于久痹病。金钱白花蛇 (白花蛇之幼体)效果更佳。此药对与蜈蚣、当归药对相比，均有通络治病效用，彼药对之扶正祛邪较佳，此药对之通络搜邪力强。
威灵仙  葛根  各10g  通络祛风、解痉止痛，适用于颈椎病之颈项强痛并证。
海桐皮  豨签草  10~15g  祛风湿，适用于风湿痹病。
附子  肉桂  5~10g(先煎)；1.5~3g(煎服)、1~1.5g(吞服)  温阳祛寒，适用于命门火衰证。主治命门火衰。
附子  干姜  3~10g( 先煎 )；2~8g  温阳祛寒、温补脾肾，适用于阳气衰微、 阴寒内盛之里虚寒证。脾肾阳虚适用。肾阳虚适用。
桂枝  附子  5~10g；10g(先煎)  温阳固表、温阳化气，适用于风湿表虚证、肾阳不足之腰痛。
枣仁  柏子仁  用量不详  养心安神，适用于血虚失眠证。
龙骨  牡蛎  20~30g  镇惊、收敛，适用于肝阳上亢之惊、痫病，滑泄不止诸证。重镇心肝生用，固摄收涩锻用。
磁石  珍珠母  各30g，先煎。  定惊安神，适用于心悸、少寐病。
旋覆花  代赭石  10g(包煎)；20~30g(先煎)   降逆涤饮，适用于痰饮呕吐、咳嗽气喘病证。
全蝎  蜈蚣  6只；3只  熄风止痉，适用于各种痉病。研磨吞服， 1.5g/bid，病重者加倍。
地龙  僵蚕  各10g  抗癫痫、止痛，适用于肝阳挟痰之癫痫、头痛。小儿按年龄适当减少。
川芎  露蜂房  10~15g；10g  散风止痛，适用于剧烈的偏头痛、血管神经性头痛。仅可治标，中病即止，不宜久服。
全蝎  露蜂房  1.5~3g(煎服)、0.5~1g(吞服 )；3~10g  适用于邪躆脉络、久治不愈之病证。有毒，只宜暂用，不能久服。
僵蚕  蝉衣  3~8g；3~6g  祛风除疹，适用于风热瘾疹之病证。
代赭石  牛膝  30g(先煎)； 10~15g  滋补肝肾、降逆下行，适用于肝阳上亢之眩晕、耳鸣。
陈皮  青皮  10g；5~10g  理气健脾，适用于肝胃气郁之脘痞病证。效果较小。枳实厚朴，除胀消痞，适用于气滞湿阻之痞满证。效果较大。
香附  川楝子  各10g  理气止痛，适用于肝郁气滞之脘协痛、痛经病。治气分郁滞。
延胡索  川楝子  各10g  理气、活血、止痛，适用于气滞血瘀之脘腹痛。治气滞血瘀。长于止痛。
柴胡  郁金  3~10g；  10~15g 行气活血，适用于气血瘀滞之协痛、闭经病。长于疏泄。
川楝子  路路通  各10g  疏肝通络，适用于肝郁之疝气。
槟榔  沈香  10g；1~3g(煎服后下)、0.5~1g(研磨冲服)  理气降逆，适用于气滞气逆证，药力峻猛。
小茴香  沈香  1~3g；后下、3~5g(煎服 )、2~3g(吞服研磨)  理气止痛，适用于肝郁气滞之腹痛，药力和缓。 
莪朮  三棱  各10g  行气散血，适用于血瘀气滞症瘕病。药力和缓。
莪朮  三棱  各10g  行气散血，适用于血瘀气滞症瘕病。 
鸡内金  三棱  3~8g ； 3~10g  消症瘕、通月经，适用于血瘀型闭茎、症瘕。要节房欲、忌冷物、勿劳乏，坚持数月才能奏效。
桃仁  红花  10g ； 5~10g  濡润行散、活血化瘀，适用于血瘀证。
五灵脂  蒲黄  5~10g(入丸、散用)；5~10g(包煎)  利湿祛瘀，适用于瘀湿相兼证。 祛瘀之力大于利湿之功。 
泽兰  益母草  10~15g；20~30g  活血调经、利尿退肿，适用于血瘀挟湿的鼓胀、闭经病。此药对药性平和，有久服不伤正之特点。
乳香  没药  5~10g  活血止痛，适用于血瘀痛证，特别是跌打损伤痛证。此药对味苦气浊，易致恶心呕吐，有胃病史者慎用。
三七  血竭  3~5g；5g  祛瘀止痛，适用于血瘀型血证。
水蛭  (虫亡)虫  3~5g( 煎服 )、1~2g(研磨吞服)  破血消症，适用于血积症块、妇人血积经闭。为峻猛破血药，孕妇禁用，体质虚者应加入益气养血药。破血药，孕妇禁用，体质虚者应加入益气养血药。
麦芽  谷芽  10~15g( 炒用 )  消食健脾，适用于食积不化。此药对含脢量较高，若炒焦则降低脢的活力，影响其疗效，故以微炒为好。
款冬  紫菀  各10g  适用于凉燥咳嗽证。
牡蛎  玄参  30g(生用)； 15g  软坚散结、消匿瘰廮，适用于阴虚挟痰热之瘰廮证。
威灵仙  制半夏  各10g  祛痰涤饮，适用于痰饮、湿痰壅滞之咳胀、肺胀病。此药对与半夏、茯苓药对相比，均能祛痰燥湿，此药对长于消，用于痰饮内聚；彼药对长于利，用于痰饮上逆。
党参  黄耆  各10~15g  益气、补脾肺，适用于脾肺气虚证。
桂枝  黄耆  5~10g；10~15g  补益卫阳之虚、中气不足，适用于血痹、中虚挟寒之脘痛病证。有温阳补中之效。
桂枝  人参  5~10g；10~30g  通阳补气、宣阳化阴，适用于营卫不和虚寒证。
生姜  大枣  3~6g；10~30g  在表可以调和营卫、扶正祛邪；在里则温补脾胃；适用于风寒、风湿表虚证及中虚脘痛。虚证及中虚脘痛。
熟地  当归  10~15g；10g  养血填精，适用于精血不足证。
熟地  白芍  10~15g；10g  补血填精，适用于精血虚弱证。此药对主静守纯养，阳气未衰，脾运尚健时，方为合适。
当归  丹参  10g(温炒)；15~20g  补血活血通经，适用于闭经、月经过少病。
鸡内金  白朮  3~10g； 10~15g  补脾健胃，适用于脾胃虚弱之病证。
蜈蚣  当归  1~3g(吞服效佳)；10~15g  扶正养血、祛风通络，适用于虚痹证。此药对与蜈蚣、白花蛇药对相比，均有通络治病效用，此药对之扶正祛邪较佳，彼药对之通络搜邪力强。
附子  人参  30g(先煎)；10g(浓煎)  大温大补、回阳救脱，适用于阳气欲脱病证。
玉竹  生地  10g；15g  滋阴养津，适用于肺阴亏损之干咳、阴虚津涸之消渴、阴亏失养之痹证。此药对为纯阴药对，胃阳尚健时可用之，否则需和他药配合。
麦冬  天冬  各 10g  滋养肺胃肾之阴，适用于阴虚之消渴、干咳病。胃家素寒者应慎用。
何首乌  仙灵脾  10~15g(2~3个月)  平补肾中阴阳、生精强身，可用于精子异常之不孕证。
益智仁  补骨脂  各10g  收涩、温脾肾，适用于脾肾阳虚之泄泄、劳淋。
蛤蚧  紫河车  1~1.5g；1.5~3g  补益肺肾，适用于久哮、久喘劳嗽之病证。哮喘久嗽之病证，以正虚标实为多，故使用时应加些祛邪药。
菟丝子  杞子  各 10~15g  平补肾中阴阳，适用于肾精不足证。
山茱萸  山药  10~15g；10g  益肾涩精，适用于男子肾虚遗精、女子肾虚带下。以不热不燥、补而不滞、能补能涩为特点。
仙灵脾  仙茅  各10g  温补肾阳、兴阳道，适用于肾阳不足之男子阳萎、女子宫寒不孕证，和蛇床子、 石楠叶药对相比，药性较缓；和肉苁蓉、巴戟天药对相比，均有补肾助阳之用，彼药对温补柔润，此药对温补燥烈。  
蛇床子  石楠叶  用量不详  温补肾阳、兴阳道，适用于肾阳不足之男子阳萎、 女子宫寒不孕证。和仙灵脾、仙茅药对相比，药性较峻。宜暂用，不宜久服，久用宜加苁蓉、锁阳温润之药物。
肉苁蓉  巴戟天  用量不详  补肾助阳，有温而不燥，补而不峻之优，适用于肾虚证。和仙灵脾、仙茅药对相比，均有补肾助阳之用，此药对温补柔润，彼药对温补燥烈。
覆盆子  紫石英  10g；10~15g  暖宫补肾、固精止带，适用于肾阳虚寒证。
鹿角  巴戟天  3~10g(煎服)、1~2g(吞服)；10g  益肾助阳、温通督脉、填补精血，适用于肾督阳虚病证。须防伤阴之弊。
紫河车  鹿角  5g； 3g  填补精血，温补肾督。适用于肾督阳虚，精血亏乏之证。阴虚有火者禁用
赤石脂  禹余粮  10-20g  涩肠，固崩漏、带下，适用于久泄、崩漏、带下之病证仅供收涩之用，若脾肾两虚者，加上培补脾肾之药。
木蝴蝶  凤凰衣  3g；5g  润咽喉，开音。适用于音喑病，对慢性喉炎、声带小节失音尤为适宜。
硼砂  乌梅  1-2g；5g  止呕，适用于胃虚之呕吐，而尤适宜于慢性萎缩性胃炎呕吐。
柴胡  升麻  3-8g  升举阳气。适用于气陷证
槟榔  常山  10g(常山酒蒸炒熟)  截疟，并能缓和胃肠，顺胃气，引药下行，避免单用常山截疟有呕吐之弊。适用于湿疟。发作前二小时服用较好。
槟榔  南瓜子  30g；30-60g  杀虫，适用于蛔虫、绦虫、姜片虫、线虫等肠道寄生虫病。临卧一次，次日早晨再服一次为宜。
葛花  枳椇子  10g  醒脾解酒毒，适用于酒毒引起的病证。病情重者，尚需在辨证前提下加入适宜方药。
威灵仙  金钱草  10-30g；30-50g  利胆排石，适用于胆结石、胆囊炎病。用于肾结石，亦有较好疗效。
黄芩  白朮  10g  安胎，适用于脾虚胎热之胎动不安。剂量要度量脾虚、胎热程度而定。
相反药对-扶正祛邪相反药对 
桂枝  白朮  10g  营卫，发汗止汗，有扶正祛邪之妙。适用于太阳中风病及表虚客邪之证。白芍剂量倍于桂枝组成药对，功擅调和阴阳，和中止痛，适用于太阳病误下腹痛、血虚挟寒之脘腹痛。
黄耆  防风  10-15g；10g  补气固表，祛风解表。 有固表不恋邪， 解表不伤正之妙。 适用于体虚感冒。 
附子  麻黄  3-5g；10g(先煎20分)  温阳解表，内温真阳，外散风寒，补中有发，发中有补。
薄荷  玉竹  5-8g(后下)；10-15g  育阴清热解表，适用于阴虚体质的风热表证。
人参  石膏  1：3(党参、太子参 10g；石膏 30g)  益气清热，有补虚不恋邪，清热不伤正之妙，适用于热盛津伤或温病余热未清损及津气的病证。病重正气欲脱者，用别直参或西洋参为宜。 
五味子  制大黄  6g；10-15g  滋肝阳、清湿热、降血清转氨酉每，降后无反跳。有益肝不恋湿热，祛邪不伤正之妙。适用于虚实夹杂证见单项血清转胺酉每增高证。
生地  黄柏  15g；10g  清热泻火，滋补肾阴，有滋肾不恋邪之优，适用于肾虚挟湿热之痿痹病。
当归  大黄  10g；生大黄 5-10g；制大黄10g  养血祛痰，适用于血虚血瘀证。
黄耆  葶苈子  10-15g  益气泻肺，补泻兼行、寒温并调、升降同施之妙，适用于肺虚痰盛之肺胀、黄耆  葶苈子  10-15g 益气泻肺，补泻兼行、寒温并调、升降同施之妙，适用于肺虚痰盛之肺胀、心悸证。
白朮  泽泻  10g：20g  健脾涤饮，适用于饮邪眩晕病证。
牡蛎  椿根皮  生、煅牡蛎并用各30g：10-20g  养阴清热，愈带止崩。既清下焦湿热以祛邪，又养肝肾以固涩，有养阴不滞邪，祛邪不耗阴之优。适用于阴虚湿热下注之崩带病证。
山药  牡蛎  生、煅各30g：30-60g  清热而无苦寒伤脾之害，养阴却无滋腻泥膈之虑，止泄又无兜涩恋邪之虞。有扶正不滋邪，祛邪不伤正之优。适用于脾肾阴亏，开阖失职之泄泻。煎汤代茶，频频服之 
山茱萸  石韦  10g；10-15g  消除蛋白尿作用。摄精泄浊，消除蛋白尿，有开阖既济之妙，有摄精不恋邪，泄浊不伤肾之优，适用于虚实夹杂型慢性肾炎患者。
黄耆  防己  10-15g；肿偏上，木防己15g，肿偏下，汉防己15g  利水消肿，适用于脾虚水湿壅滞之肿胀。
白朮  枳实  10g  消痞除胀利湿，有祛邪不伤正，健脾不碍邪之优。肿胀。
白朮  枳实  10g  消痞除胀利湿，有祛邪不伤正，健脾不碍邪之优。
白朮  槟榔  白朮成人剂量30g以上，3：1，若不足此比例，服后有腹痛之副作用  通利大便，有补脾胃不碍气运，助气机不伤脾胃的双相调节作用。须空腹服药，每日二次，一次 250ml 以上，服后多饮开水，效果更佳。
党参  石菖蒲  10-15g；石菖蒲干者10g，鲜者15-20g  强心益气，化湿开窍，有补不恋邪，通不伤正之妙，适用于气虚挟痰湿之胸痹。心气虚甚者，别直参易党参。
太子参  合欢皮  10-15g；10g  调畅心脉，益气和阴， 有益气养阴不窒气机， 解郁和血不伤气阴之妙。适用于气机郁结，气阴两亏之胸痹病。
鸡血藤  海风藤  10-15g；15g  除痹通络，既祛风湿， 又补血行血，扶正兼祛邪，适用于虚实相兼痹病。
益智仁  萆薢  3-10g；10-15g  泄浊摄精，有分利不伤肾，固摄不恋邪之优，适用于虚实夹杂之白浊、遗尿、遗精等病证。遗尿、遗精等病证。
黄耆  槟榔  黄耆生用 10-15g；8-10g  益气退肿，有行水退肿不伤正，益气固表不留邪之优。初服时有腹痛、耕动不舒之感，此乃正邪相搏之征，毋需更药，继续服之即效。
白朮  莪朮  10-15g；10g  既理气又补气， 既破血又利湿， 适用于气虚血瘀及血瘀湿阻之鼓胀、 闭经等病证。
人参  莱菔子  人参改用党参10-15g；莱菔子10g  益气消积化痰。有补不碍邪，消不伤正之妙，适用于脾虚食积气滞、肺虚痰气阻塞之喘咳。
白芍  赤芍  无  养血祛瘀，柔肝泄肝，适用于阴亏挟瘀之胁痛。
楮实  丹参  10g  纠正心律，既能补肾养血，以填不足之阴，又能活血通络，以疏络脉之瘀，有标本兼治、扶正祛邪之功，适用于老年心律不齐。
生地  地骨皮  10-15g；10g  补肾滋阴，凉血调经，有滋其不足，清其有余，适用于阴虚血热型的月经先期或月经过少之病证。
锁阳  忍冬藤  10g；10-15g  滋阴清热通络， 有滋肾润燥不恋邪， 清热通络不伤正之妙。 适用于肾虚挟热之痿证。挟热之痿证。
龟版  铁扫帚  15g；30g  益肾清湿热，有祛邪不伤正，滋阴不恋邪之优。适用于慢性肾炎正虚邪实型。
鹿角霜  地鳖虫  6g；10-15g  温补肾阳，祛瘀止痛之力  甚宏，适用于肾亏挟瘀之腰痛。用此药对治疗腰肌劳损、腰椎骨质增生症，疗效显著。
鳖甲  穿山甲  鳖甲先煎 15g；10g  消症除积聚，适用于症块积聚病。
续断  川山膝  10-15g；8-12g  补肝肾，祛瘀通经，适用于肾亏挟之腰痛、闭经病证。
桑寄生  丝瓜络  无  补肝肾，通脉络，有补而不滞，通不伤正之优，适用于肾虚络脉不和之腰腿痛病证。
阿胶  黄连  10-15g；黄连吞服1-2g，煎3-5g  育阴清热，水火既济，有使心火下降、肾水上济之功，适用于水亏火炽所致不寐。
阿胶  石膏  10-15g；15-20g  养阴润肺，清热润燥，适用于温燥客肺之病证。
相反药对-寒热相反药对
石膏  麻黄  肺热轻者 3:1；肺热重者 5:1  宣肺止咳，清热定喘，有宣肺止喘无蕴热之弊，清肺泻热无冰伏之优，适用于肺热咳喘病证。
石膏  桂枝  10-30g 先煎；5-10g  一在表祛风清热、无温通助邪、寒凉抑遏之弊；二在里既能清热降逆，又能温化水饮。适用于风湿热病、胃热挟寒饮病。
羚羊角  桂枝  0.3-1 研末吞服；3-4.5g  清郁闭之热结，散外来之寒邪，适用于寒热夹杂之痹病。羚羊角可用 10 倍山羊角代用煎服。
大黄  附子  寒实便秘、关格病大便秘者，生大黄后下5-10g；10g  温通大便，利尿泌浊，有温阳不助邪，通便不伤正之妙，适用于寒实便秘或肾阳不足，湿浊上泛之关格病。关格病大便通者以制大黄易生大黄10g
黄连  吴萸  6：1  清泄肝火。黄连配吴萸，能直达肝经，以防格拒；吴萸伍黄连，能发挥止痛、引热下行之特长，又避药物之热性，适用于肝火郁结之胁痛。
龟板  鹿角  以熬膏为宜，各5g 开水冲服  阴阳两补，生精血，强精骨，适用于阴阳两亏之痿证。每日加别直参2g效果更佳。脾胃运化力弱者慎服。
瓜蒌  薤白  10g  宣畅气机，消除痰浊，适用于痰浊阻滞，阳气不通之胸痹。
黄连  干姜  5g  辛开苦降，清热燥湿，有清热不恋湿，祛湿不助热之妙，适用于湿热互结之呕吐。加黄芩、吴萸效果更佳。
黄芩  制半夏  8-10g；10g  辛开苦降，清热降逆止痢，适用于湿热所致的呕吐、下痢证。常加用黄连、厚朴增其辛开苦降之功。
黄连  制半夏  黄连吞服3g，煎服3-5g；10g  清热降逆，消痞止痛，适用于湿热互结之胸痹。常加用黄芩、干姜之类，疗效更佳。
相反药对-升降相反药对
肉桂  黄连  1:10  辛开苦降，交通心肾，引火归元，有「阴得阳升而泉源不竭」之妙，适用于心肾失交之不寐。此类病人应忌烟酒辛辣之物，服一至二个月后，才能根除。
柴胡  黄芩  8-10g；10g  和解少阳，有解表又清，升沟又降浊之妙，适用于少阳经寒热或少阳经发热。临床用于胆囊炎、胆结石发热，效果尚佳。
柴胡  制半夏  外感5-10g、内伤2-5g；10g  一在外感病中能解表清里； 二在内伤杂病中能升清降浊。
佩兰  钩藤  10g( 新鲜者加倍)；10-15g后下  降肝阳， 升清阳， 有升清不助阳上越， 降肝不恋浊之妙。适用于肝阳挟湿浊之头痛。
白蒺藜  骨碎补  10g  沈降补肾不碍疏肝，升散肝热不碍滋肾特点适，适用于肾虚肝热之牙痛。
桔梗  櫍榔  3-6g；6-10g  宣三焦气机，利水祛湿，有升降既济之妙，适用于湿脚气，风水病证。
葛根  槟榔  10g  理顺升降。适用于升降失调之脘腹胀、泄泻病证。
荆芥  大黄  10g；10-15g  使气化能下及，腑气能通畅，故可治大小便不通。
夏枯草  牡蛎  10g；生牡蛎30g  敛阴不致郁结，升散不耗阴液，有升降既济、除邪匡正之妙。适用于肝阴亏损、风阳上扰之头痛病。
麻黄  地龙  3-4.5g；9-12g  宣肺平喘，有升降既济、 开合适度之妙，适用于痰浊阻塞气道之哮喘病。
相反药对-润燥相反药对 
杏仁  制半夏  10g  润肺止咳，燥湿化痰，润燥相济，有润肺不恋湿，燥湿不伤阴之优，适用于肺燥脾湿之咳嗽。
玄参  苍朮  10g  治夜盲，有寒温润燥相济之妙。
生地  苍朮  15g；10g  滋阴燥湿，有滋阴不碍湿，燥湿不伤阴之优，适用于阴虚挟湿之痿病。
麦冬  制半夏  10-15g；5g  养胃阴、降呕逆，适用于胃阴亏损之呕吐病。
相反药对-散敛相反药对
细辛  五味子  2-4.5g；5g  温肺化饮，止咳平喘，一散一敛，有散不伤正，收不留邪之优。适用于寒饮伏肺之哮喘病。寒饮伏肺之哮喘病。
干姜  五味子  3-5g；5-8g  温肺祛饮，止咳平喘，散敛既济，有宣肺不伤肺气，温肺不耗肺津之妙，适用于寒饮咳喘之病证。
相反药对-其它相反药对 
桂枝  炙甘草  5-10g；3-5g  温通心阳，适用于心气虚寒证。
白芍  炙甘草  30g少则效差；3-5g  酸甘化阴，适用于拘急性疼痛。
槟榔  丹参  10g；15g  行气活血通络，适用于气滞血瘀之病证。
桂枝  当归  5-10g；10g  温经散寒，养血通脉，适用于血虚挟寒证。
蜈蚣  白芥子  1-3g；5-10g  搜风涤痰，对疑难痼疾有一定疗效。适用于风痰挟瘀之头痛，痰瘀阻络之痛风、腰腿痛、中风、面瘫、淋巴结肿大、慢性腰肌劳损。
威灵仙  地龙  10g  既清外侵风湿热之邪，又除内蕴瘀血之患，适用于中风后遗症之半身不遂之病。
黄连  木香  3-6g；5-8g  治痢。
相使药对  
附子  磁石  10-30g；30g(均先煎30分钟)  附子得磁石之使，功擅温肾潜阳，有温下之力，而无热上之弊，适用于阳虚浮火上越之证。
茯苓  桂枝  15-30g；3-5g  只治里不治表。茯苓得桂枝之使，功擅温阳涤饮，适用于痰饮病。
饴糖  桂枝  30-60g；5-10g  饴糖得桂枝之使，功擅甘温建中，缓急止痛。适用于中虚脘痛之病证。
石菖蒲  郁金  鲜者 10-15g；5-10g  菖蒲得郁金之使，开窗之力益宏，适用于湿温病痰浊蒙敝心包、杂病惊痫、失眠等神态失常病证。
石菖蒲  川贝母  10-15g；1-2g  石菖蒲得川贝母之使，开窍之力尤宏，适用于急性热病之神昏。
吴萸  槟榔  3g；10g  理气止痛，祛寒利湿，适用于气滞挟寒之脘腹痛、寒湿脚气。有些病人服后大便增多呈灰黑或淡黄色，症状改善快。反之，症状改善慢。这是有形寒湿之物排出的缘故。
鸡内金  槟榔  消食积炒制10g、排结石生用3g吞服；10g  鸡内金得槟榔之使，功擅消食排食，适用于食滞脘腹、胆囊或尿路结石。
大黄  桃仁  酒炒 10g；10g  大黄得桃仁之使，功擅祛瘀攻积，适用于血瘀实证。
栀子  豆豉  10g  栀子得豆豉之使，清热除烦之功尤胜，适用于胸中郁热证。患者挟有痰涎，服后可能出现呕吐。
鸡内金  柴胡  8-10g；2g  鸡内金得柴胡之使， 功擅消肝经症瘕， 适用于肝积肥气。 左胁肋症块之病证临床表现有病史长、病机复杂的特点，用此药对时尚需加入相应方药，效果更佳。
代赭石  党参  30g，浓汁频频灌服。  代赭石得党参之使，药力直趋于下，功擅利产达生，适用于气虚难。此药对虽可预防难产之用，预产期前一周服药，连服一周，能缩短产程。
黄耆  茯苓皮  15-20g；30g  黄耆得茯苓皮之使，功擅益气健脾利水，适用于脾虚水肿证。
石膏  牛膝  (先煎)30g；10g  石膏得牛膝之使，功擅引胃火下行，适用于胃热牙痛。患者虽无脘腹拒按，但大便数日未解，此因腑气不通，加槟榔、大黄，有助于胃热下泄。
石膏  升麻  (先煎) 30-45g；5-10g  石膏得升麻之使，功擅升清胃火，适用于胃经郁火之牙痛。
十八反、十九畏药对
海藻  甘草  10-15g；3-5g  消瘿瘤、瘰疬，适用于甲状腺囊肿、项淋巴结结核。加昆布、黄药脂，效果更佳。效果更佳。
甘遂  甘草  煎服 1.5-3g、吞服 0.6-0.9g；3-5g  逐饮泄水、适用于痰饮留于胃肠。此药对服后出现腹泄、应中病即止。
人参  五灵脂  别直参3g浓煎、先饮汁、再食渣，病轻用红参5g；10g  包煎益气祛瘀。适于血瘀痼疾。
